organisation,region
local-authority-eng:LND,london
local-authority-eng:WIL,south-west
local-authority-eng:BDG,london
local-authority-eng:BNE,london
local-authority-eng:BEX,london
local-authority-eng:BEN,london
local-authority-eng:BRY,london
local-authority-eng:CMD,london
local-authority-eng:CRY,london
local-authority-eng:EAL,london
local-authority-eng:ENF,london
local-authority-eng:PTE,east-of-england
local-authority-eng:LUT,east-of-england
local-authority-eng:GRE,london
local-authority-eng:HCK,london
local-authority-eng:BDF,east-of-england
local-authority-eng:CBF,east-of-england
local-authority-eng:HMF,london
local-authority-eng:HRY,london
local-authority-eng:SOS,east-of-england
local-authority-eng:THR,east-of-england
local-authority-eng:HRW,london
local-authority-eng:HAV,london
local-authority-eng:MDW,south-east
local-authority-eng:BRC,south-east
local-authority-eng:HIL,london
local-authority-eng:HNS,london
local-authority-eng:WBK,south-east
local-authority-eng:ISL,london
local-authority-eng:KEC,london
local-authority-eng:RDG,south-east
local-authority-eng:SLG,south-east
local-authority-eng:KTT,london
local-authority-eng:LBH,london
local-authority-eng:WNM,south-east
local-authority-eng:WOK,south-east
local-authority-eng:LEW,london
local-authority-eng:MRT,london
local-authority-eng:MIK,south-east
local-authority-eng:RUS,east-midlands
local-authority-eng:BNH,south-east
local-authority-eng:NWM,london
local-authority-eng:CHR,south-east
local-authority-eng:POR,south-east
local-authority-eng:RDB,london
local-authority-eng:OXO,south-east
local-authority-eng:STH,south-east
local-authority-eng:RIC,london
local-authority-eng:SOX,south-east
local-authority-eng:IOW,south-east
local-authority-eng:SWK,london
local-authority-eng:VAL,south-east
local-authority-eng:AYL,south-east
local-authority-eng:STN,london
local-authority-eng:WOX,south-east
local-authority-eng:CHN,south-east
local-authority-eng:SBU,south-east
local-authority-eng:MEN,south-west
local-authority-eng:TWH,london
local-authority-eng:WFT,london
local-authority-eng:WYO,south-east
local-authority-eng:SEG,south-west
local-authority-eng:SSO,south-west
local-authority-eng:CAB,east-of-england
local-authority-eng:WND,london
local-authority-eng:WSM,london
local-authority-eng:ECA,east-of-england
local-authority-eng:SWT,south-west
local-authority-eng:CAN,west-midlands
local-authority-eng:FEN,east-of-england
local-authority-eng:BOL,north-west
local-authority-eng:BUR,north-west
local-authority-eng:HUN,east-of-england
local-authority-eng:EST,west-midlands
local-authority-eng:MAN,north-west
local-authority-eng:SCA,east-of-england
local-authority-eng:ALL,north-west
local-authority-eng:BAR,north-west
local-authority-eng:CAR,north-west
local-authority-eng:COP,north-west
local-authority-eng:EDN,north-west
local-authority-eng:SLA,north-west
local-authority-eng:AMB,east-midlands
local-authority-eng:BOS,east-midlands
local-authority-eng:CHS,east-midlands
local-authority-eng:DEB,east-midlands
local-authority-eng:ERE,east-midlands
local-authority-eng:HIG,east-midlands
local-authority-eng:NED,east-midlands
local-authority-eng:SDE,east-midlands
local-authority-eng:EDE,south-west
local-authority-eng:EXE,south-west
local-authority-eng:MDE,south-west
local-authority-eng:NDE,south-west
local-authority-eng:SHA,south-west
local-authority-eng:TEI,south-west
local-authority-eng:TOR,south-west
local-authority-eng:WDE,south-west
local-authority-eng:EAS,south-east
local-authority-eng:HAS,south-east
local-authority-eng:LEE,south-east
local-authority-eng:OLD,north-west
local-authority-eng:RCH,north-west
local-authority-eng:SLF,north-west
local-authority-eng:SKP,north-west
local-authority-eng:TAM,north-west
