la-statistical-geography,comb-statistical-geography
E08000001,E47000001
E08000002,E47000001
E08000003,E47000001
E08000004,E47000001
E08000005,E47000001
E08000006,E47000001
E08000007,E47000001
E08000008,E47000001
E08000009,E47000001
E08000010,E47000001
E08000016,E47000002
E08000017,E47000002
E08000018,E47000002
E08000019,E47000002
E08000032,E47000003
E08000033,E47000003
E08000034,E47000003
E08000035,E47000003
E08000036,E47000003
E06000006,E47000004
E08000011,E47000004
E08000012,E47000004
E08000013,E47000004
E08000014,E47000004
E08000015,E47000004
E06000001,E47000006
E06000002,E47000006
E06000003,E47000006
E06000004,E47000006
E06000005,E47000006
E08000025,E47000007
E08000026,E47000007
E08000027,E47000007
E08000028,E47000007
E08000029,E47000007
E08000030,E47000007
E08000031,E47000007
E06000031,E47000008
E07000008,E47000008
E07000009,E47000008
E07000010,E47000008
E07000011,E47000008
E07000012,E47000008
E06000022,E47000009
E06000023,E47000009
E06000025,E47000009
E06000047,E47000010
E08000023,E47000010
E08000024,E47000010
E08000037,E47000010
E06000057,E47000011
E08000021,E47000011
E08000022,E47000011
